【配点方式 × 除外ルール比較】,,,
検証パターン,的中率,サンプル数,的中数
─ OLD(従来)   T35相対・RSI30・%B10 ─,,,
除外なし,53.1%,160,85
R1のみ,53.1%,160,85
R2のみ,53.5%,159,85
R3のみ,53.1%,160,85
R1+2,53.5%,159,85
R1+3,53.1%,160,85
R2+3,53.5%,159,85
全ルール,53.5%,159,85
─ NEW(現行)   T20絶対・RSI35・%B20 ─,,,
除外なし,53.1%,160,85
R1のみ,53.1%,160,85
R2のみ,54.7%,159,87
R3のみ,53.1%,160,85
R1+2,54.7%,159,87
R1+3,53.1%,160,85
R2+3,54.7%,159,87
全ルール,54.7%,159,87
─ A           T20絶対・RSI20・%B35 ─,,,
除外なし,53.1%,160,85
R1のみ,53.1%,160,85
R2のみ,54.1%,159,86
R3のみ,53.1%,160,85
R1+2,54.1%,159,86
R1+3,53.1%,160,85
R2+3,54.1%,159,86
全ルール,54.1%,159,86
─ B           T20絶対・RSI25・%B30 ─,,,
除外なし,52.5%,160,84
R1のみ,52.5%,160,84
R2のみ,53.5%,159,85
R3のみ,52.5%,160,84
R1+2,53.5%,159,85
R1+3,52.5%,160,84
R2+3,53.5%,159,85
全ルール,53.5%,159,85
,,,
【ルール2 前日比閾値の最適化（NEW配点）】,,,
閾値,的中率,サンプル数,的中数
R2±3%,56.1%,155,87
R2±5%,54.7%,159,87
R2±7%,52.5%,160,84
R2±10%,53.1%,160,85
