sl_buffer_mult,eval_dt,code,direction,entry,tp,sl,exit,result,pnl_pct,rr_real,mfe_pct,mae_pct,d1_ohlc_pct,d2_ohlc_pct,d3_ohlc_pct,d4_ohlc_pct,d5_ohlc_pct,cumulative_ohlc,ma_divergence,trend_aligned,swing_rank
1.0,2025-11-25,8630,売り,4848.0,4699.9,5168.7,5080.0,forced_loss,-4.79,-0.72,0.04,5.61,-5.177,-4.724,-5.817,-8.313,-14.274,-38.304,-0.762,True,1
1.0,2025-11-25,6367,買い,20025.0,21133.3,19227.2,19770.0,forced_loss,-1.27,-0.32,2.3,1.37,0.574,4.095,4.295,-0.05,-2.622,6.292,1.987,True,2
1.0,2025-11-25,9501,買い,779.9,969.6,751.2,751.2,loss,-3.69,-1.0,5.95,8.19,5.334,8.578,6.193,-13.938,-39.826,-33.658,8.734,True,3
1.0,2025-11-25,8411,買い,5339.0,5578.8,5134.8,5578.8,win,4.49,1.17,4.76,0.49,5.001,8.26,7.792,10.245,15.134,46.432,3.478,True,4
1.0,2025-11-25,6758,買い,4450.0,4944.7,4319.5,4442.0,forced_loss,-0.18,-0.06,3.51,1.06,3.348,8.562,8.607,-0.202,-0.854,19.461,3.612,True,5
1.0,2025-11-25,8725,売り,3397.0,3288.3,3446.5,3446.5,loss,-1.46,-1.0,0.91,1.91,-0.589,-3.709,-5.74,-6.211,-11.334,-27.583,-3.158,True,6
1.0,2025-11-25,6503,買い,4200.0,4559.4,4112.3,4300.0,forced_win,2.38,1.14,2.38,1.31,1.786,3.119,1.905,0.333,4.0,11.143,7.512,True,7
1.0,2025-11-25,8001,買い,1846.6,1937.1,1786.3,1840.6,forced_loss,-0.32,-0.1,1.52,1.17,1.376,1.885,1.895,-1.061,-1.744,2.35,5.24,True,8
1.0,2025-11-25,6861,買い,53650.0,57088.0,53076.9,53076.9,loss,-1.07,-1.0,0.34,1.86,-0.298,-1.062,-3.523,-5.48,-8.947,-19.31,0.847,True,9
1.0,2025-11-25,8750,売り,1188.0,1133.3,1241.9,1216.5,forced_loss,-2.4,-0.53,0.08,4.29,-6.187,-10.101,-9.386,-5.261,-8.165,-39.099,-4.028,True,10
